"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.810500002E-3,8.981921997E0,-2.531385956E0,1.559606781E0
2.291850000E-2,8.841214600E0,-2.570754089E0,1.578168182E0
4.302750000E-2,8.791368256E0,-2.378104706E0,1.720372467E0
6.313650000E-2,8.755442963E0,-2.287243652E0,1.855092316E0
8.324550000E-2,8.781638489E0,-2.288740540E0,1.782193909E0
1.033545000E-1,8.992699585E0,-2.090103607E0,1.757046204E0
1.234635000E-1,9.134155426E0,-2.057920532E0,1.897454224E0
1.435725000E-1,9.097182312E0,-2.318977661E0,2.030228119E0
1.636805000E-1,9.207652588E0,-2.601440277E0,2.171384583E0
1.837895000E-1,9.466464386E0,-2.612966309E0,2.274071045E0
2.038985000E-1,9.655221863E0,-2.561772766E0,2.079176331E0
2.240075000E-1,9.911488953E0,-2.723586273E0,2.129471741E0
2.441165000E-1,1.007599686E1,-2.808310089E0,2.465373230E0
2.642255000E-1,9.797875214E0,-3.155887299E0,2.271376648E0
2.843335000E-1,9.663305054E0,-3.930526428E0,2.121837616E0
3.044425000E-1,1.010832962E1,-4.555626526E0,2.734663239E0
3.245515000E-1,1.068358337E1,-3.869004364E0,3.053051147E0
3.446605000E-1,1.052670959E1,-2.674638062E0,2.965632935E0
3.647695000E-1,9.444160767E0,-2.007026367E0,2.274819489E0
3.848785000E-1,8.665030975E0,-2.414329376E0,4.730163574E-1
4.049875000E-1,9.041348419E0,-3.575913849E0,-1.524579620E0
4.250914583E-1,1.171703430E1,-4.690945129E0,-2.497107239E0
4.452004583E-1,1.072923843E1,-4.304598541E0,-4.473297729E0
4.653094583E-1,9.164093170E0,-2.152374115E0,-4.648134155E0
4.854184583E-1,9.851314087E0,1.972897339E-1,-3.234623566E0
5.055274583E-1,1.011985565E1,1.286125488E0,-2.176473999E0
5.256364583E-1,1.003632935E1,9.355545044E-2,-1.796564026E0
5.457454583E-1,1.070843170E1,-2.092199249E0,-1.176253967E0
5.658534583E-1,1.046788193E1,-3.979774017E0,-5.102888489E-1
5.859624583E-1,9.047635345E0,-5.069657593E0,1.463955688E-1
6.060714583E-1,8.288563843E0,-4.686304779E0,2.999761963E-1
6.261804583E-1,7.762258301E0,-2.826123047E0,-2.514770508E-1
6.462894583E-1,7.281607819E0,-1.187630310E0,-6.544390869E-1
6.663984583E-1,7.093598785E0,3.439846802E-1,-7.366181946E-1
6.865074583E-1,7.751031647E0,1.514550476E0,-5.307962036E-1
7.066154583E-1,9.332792358E0,1.154698792E0,-4.581971741E-1
7.267244583E-1,9.845326538E0,3.411405945E-1,-6.300398254E-1
7.468334583E-1,9.999954987E0,-3.219804382E-1,-2.869532776E-1
7.669424583E-1,9.840386810E0,-8.111631775E-1,1.106199646E-1
7.870514583E-1,9.837093658E0,-1.190624084E0,4.460723877E-1
8.071604583E-1,9.722132721E0,-1.405427399E0,5.785469055E-1
8.272694583E-1,9.265731812E0,-1.285526733E0,5.523513794E-1
8.473774583E-1,8.928932190E0,-9.996212769E-1,5.249583435E-1
8.674864583E-1,8.842561798E0,-2.336640930E-1,3.722758484E-1
8.875954583E-1,9.222172394E0,9.460327148E-2,1.245410156E-1
9.077044583E-1,1.015308655E1,-2.044747925E-1,-1.625619507E-1
9.278134583E-1,1.066038162E1,-2.516267395E-1,-1.929487610E-1
9.479224583E-1,1.111842911E1,-1.210981750E-1,5.595364380E-1
9.680314583E-1,1.142454254E1,-5.568420410E-2,1.791025543E0
9.881394583E-1,1.135299133E1,-1.243913269E-1,1.846410370E0
1.008248458E0,1.060649368E1,-2.460882568E-1,2.404000854E-1
1.028357458E0,1.074435699E1,-8.193960571E-1,-1.694626007E0
1.048466458E0,1.216071167E1,-6.285429382E-1,-3.796555023E0
1.068575458E0,1.299687286E1,-5.161267090E-1,-4.466861115E0
1.088684458E0,1.109732300E1,-2.088457031E0,-3.513343964E0
1.108793458E0,8.625962219E0,-3.667074280E0,-1.452130280E0
1.128901458E0,8.065677338E0,-5.275180206E0,-6.541397095E-2
1.149010458E0,9.698182526E0,-4.971312103E0,-3.480262756E-1
1.169119458E0,1.154788605E1,-3.399131470E0,-7.858657837E-1
