"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.326916718E-3,9.353898468E0,-1.250798950E0,-2.796185303E0
2.343591675E-2,9.382039948E0,-1.237925720E0,-2.961591339E0
4.354491667E-2,9.253457336E0,-1.179397430E0,-2.929857330E0
6.365391670E-2,9.054521027E0,-9.674382019E-1,-2.882256317E0
8.376391674E-2,8.760981445E0,-5.469625854E-1,-2.963686981E0
1.038729168E-1,8.682843933E0,-1.513352966E-1,-3.192261658E0
1.239819167E-1,8.674161987E0,7.319778442E-2,-3.464545441E0
1.440909167E-1,8.638087006E0,7.454498291E-2,-3.791764984E0
1.641999168E-1,8.734785919E0,4.430786133E-2,-3.978576508E0
1.843089167E-1,9.022188263E0,-1.722917175E-1,-4.138593750E0
2.044179167E-1,9.249864807E0,-4.565505981E-1,-3.940555573E0
2.245269167E-1,9.227710876E0,-6.411167908E-1,-3.667523346E0
2.446359168E-1,9.301806793E0,-7.682025146E-1,-3.417692871E0
2.647449167E-1,9.201814728E0,-7.825726318E-1,-3.439846802E0
2.848539167E-1,8.934320984E0,-6.743476868E-1,-3.595672760E0
3.049629168E-1,8.831634521E0,-3.224295044E-1,-4.117188263E0
3.250719167E-1,8.965605927E0,3.218307495E-2,-4.781057739E0
3.451819167E-1,9.281748505E0,1.426533508E-1,-4.855453033E0
3.652909168E-1,9.617949371E0,1.534309387E-1,-4.472549286E0
3.853999167E-1,9.708660736E0,-1.977388000E-1,-4.268224182E0
4.055089167E-1,9.558223572E0,-5.646258545E-1,-4.320615234E0
4.256179167E-1,9.074429626E0,-4.237687683E-1,-4.398004303E0
4.457269168E-1,8.478219452E0,5.837860107E-3,-4.612807617E0
4.658359167E-1,8.233628082E0,5.327421570E-1,-4.957989807E0
4.859449167E-1,8.072263641E0,6.973997498E-1,-5.256469116E0
5.060539168E-1,8.019722900E0,5.550457764E-1,-5.656437378E0
5.261629167E-1,8.098608856E0,3.698808289E-1,-6.072721710E0
5.462719167E-1,8.104596405E0,1.856140137E-1,-6.299799500E0
5.663809167E-1,8.075556793E0,9.774673462E-2,-6.285878448E0
5.864899168E-1,7.890840912E0,1.796264648E-3,-6.130651245E0
6.066000417E-1,7.705526276E0,-5.179229736E-2,-6.046526184E0
6.267090418E-1,7.476502533E0,1.263372803E-1,-5.961203613E0
6.468180417E-1,7.338788910E0,5.435197449E-1,-5.793701935E0
6.669270417E-1,7.336543579E0,9.574090576E-1,-5.727539520E0
6.870360418E-1,7.457192688E0,1.319955139E0,-5.776487732E0
7.071450417E-1,7.640411682E0,1.671124878E0,-6.088888092E0
7.272540417E-1,8.025411072E0,1.824555817E0,-6.470444641E0
7.473630417E-1,8.542884979E0,1.783241730E0,-6.588698730E0
7.674720418E-1,8.845854950E0,1.173260193E0,-6.250402222E0
7.875810417E-1,9.021739197E0,3.908372498E-1,-5.142106934E0
8.076900417E-1,8.784033508E0,-1.318757629E-1,-4.276457062E0
8.277990418E-1,8.549022217E0,-1.122515717E0,-4.040697327E0
8.479090417E-1,1.025667114E1,-2.531685333E0,-2.667303314E0
8.680180417E-1,1.260947845E1,-2.084565125E0,-2.510728912E0
8.881270417E-1,1.132215546E1,1.935624847E0,-4.512216797E0
9.082360417E-1,9.372010803E0,8.933422852E-1,-4.872517548E0
9.283450417E-1,9.287736053E0,-5.255570984E-1,-5.860762482E0
9.484540417E-1,1.070379135E1,-2.179318085E0,-5.769152985E0
9.685630418E-1,1.108669510E1,-4.067341919E0,-5.121449890E0
9.886720417E-1,9.717043304E0,-5.060676270E0,-4.032913513E0
1.008781042E0,8.738528137E0,-5.179080048E0,-2.549049225E0
1.028890042E0,8.371042328E0,-3.942351837E0,-1.789828033E0
1.048999042E0,7.876620483E0,-1.967658234E0,-1.761985931E0
1.069109042E0,7.160958710E0,-5.559439087E-1,-2.086810455E0
1.089218042E0,7.627239075E0,6.496490479E-2,-2.730621643E0
1.109327042E0,8.367599487E0,-2.094145203E-1,-3.062780914E0
1.129436042E0,8.471932526E0,-9.758207703E-1,-3.057841187E0
1.149545042E0,8.400531006E0,-1.051712952E0,-2.804567871E0
1.169654042E0,8.358169098E0,-8.339158630E-1,-2.746039581E0
1.189763042E0,8.690777435E0,-8.125103760E-1,-2.895129547E0
