"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.323500001E-3,1.428142488E-1,-5.461014435E-2,2.088756412E-1
2.543250000E-2,1.514771134E-1,-3.025008924E-2,1.651504934E-1
4.554150000E-2,1.385994703E-1,-1.906148344E-2,1.299086958E-1
6.565050000E-2,1.361402869E-1,-6.570696831E-2,1.180782765E-1
8.575950000E-2,1.204963103E-1,-1.059700772E-1,7.172934711E-2
1.058675000E-1,7.046857476E-2,-9.880788624E-2,4.034413490E-3
1.259765000E-1,9.300599806E-3,-9.241984785E-2,-4.764958471E-2
1.460855000E-1,-4.964526743E-2,-9.937462211E-2,-6.708765775E-2
1.661945000E-1,-9.818757325E-2,-9.324822575E-2,-9.956640005E-2
1.863035000E-1,-1.438157409E-1,-9.044799954E-2,-1.298590899E-1
2.064125000E-1,-2.241187990E-1,-7.426188886E-2,-1.263047010E-1
2.265215000E-1,-3.431216776E-1,4.542165250E-2,-9.554824978E-2
2.466295000E-1,-3.655706942E-1,9.251776338E-2,-8.279208094E-2
2.667385000E-1,-3.361947536E-1,-3.299593925E-2,-6.060586497E-2
2.868475000E-1,-3.357962966E-1,-6.138551235E-2,-1.367506105E-2
3.069565000E-1,-2.893745005E-1,4.713180289E-2,-4.331745580E-2
3.270655000E-1,-2.141335458E-1,2.439725399E-1,-1.806659549E-1
3.471745000E-1,-1.874030828E-1,4.235630631E-1,-3.452830911E-1
3.672835000E-1,-2.103866935E-1,5.209984183E-1,-3.158096671E-1
3.873915000E-1,-1.633300334E-1,1.168978810E-1,-1.469491571E-1
4.074964583E-1,-1.630200893E-1,-6.087625623E-1,1.094869226E-1
4.276054583E-1,-5.263027176E-2,-7.815890908E-1,8.263517171E-2
4.477144583E-1,-8.435739577E-2,-5.113101751E-2,-8.361073583E-2
4.678234583E-1,-3.009155393E-1,6.434167624E-1,-2.157227397E-1
4.879324583E-1,-4.950109124E-1,6.706529260E-1,-3.932120204E-1
5.080414583E-1,-6.030790210E-1,-8.132707328E-2,-4.469985068E-1
5.281494583E-1,-6.127421856E-1,-8.611240387E-1,-2.878764570E-1
5.482584583E-1,-3.132126629E-1,-7.666341662E-1,-1.054509729E-1
5.683674583E-1,1.350529343E-1,-4.348917902E-1,-9.106086195E-2
5.884764583E-1,4.817587435E-1,-3.805179000E-1,-1.826929599E-1
6.085854583E-1,6.925021410E-1,-3.756878972E-1,-3.428328037E-1
6.286944583E-1,7.283724546E-1,-2.341285199E-1,-4.835661650E-1
6.488024583E-1,6.871207952E-1,-2.490803152E-1,-5.387989879E-1
6.689114583E-1,5.725983381E-1,-3.584698439E-1,-4.633022547E-1
6.890204583E-1,4.626198411E-1,-4.155509472E-1,-3.091402948E-1
7.091294583E-1,3.568960130E-1,-3.575636744E-1,-1.752909571E-1
7.292384583E-1,2.647422850E-1,-1.622549295E-1,-8.614115417E-2
7.493474583E-1,1.814880073E-1,-4.036324844E-2,-5.826331675E-2
7.694564583E-1,1.679618210E-1,1.195994951E-2,-6.675146520E-2
7.895644583E-1,2.351052761E-1,3.277792409E-2,-9.785774350E-2
8.096734583E-1,3.436456621E-1,7.470514625E-2,-1.234088540E-1
8.297824583E-1,4.491526783E-1,5.399122834E-2,-1.074793786E-1
8.498914583E-1,5.429135561E-1,6.655286252E-2,-5.982112139E-2
8.700004583E-1,5.989454985E-1,7.790429145E-2,4.228837043E-2
8.901094583E-1,5.804412365E-1,-1.298632324E-1,-6.784548610E-2
9.102184583E-1,5.390299559E-1,-6.374376267E-2,-1.111979336E-1
9.303264583E-1,5.561047196E-1,7.137514651E-2,-1.945405006E-1
9.504354583E-1,6.234648228E-1,2.031678110E-1,-3.240364790E-1
9.705444583E-1,7.914589047E-1,1.788642257E-1,-4.851319790E-1
9.906534583E-1,8.898305893E-1,7.110020518E-2,-5.985166430E-1
1.010762458E0,8.058050871E-1,-2.317435443E-1,-5.742754340E-1
1.030871458E0,7.425408959E-1,-5.319624543E-1,-4.943187833E-1
1.050980458E0,5.824863315E-1,-4.954099357E-1,-4.402693510E-1
1.071088458E0,3.849099278E-1,-2.901159823E-1,-3.836417496E-1
1.091197458E0,2.653135955E-1,-2.451449819E-2,-2.819007337E-1
