"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.738316666E-2,-2.378040105E-1,3.599078953E-1,1.223954838E-2
4.749908333E-2,-2.865853012E-1,2.256933749E-1,1.343095675E-2
6.761408332E-2,-2.901663184E-1,6.766715646E-2,-2.975128591E-2
8.772908335E-2,-2.332262397E-1,-4.866907373E-2,-7.077695429E-2
1.078440833E-1,-1.786783636E-1,-1.012670398E-1,-6.829382479E-2
1.279590833E-1,-1.750393659E-1,-8.451863378E-2,-8.877650835E-4
1.480740833E-1,-1.880271137E-1,-7.846376300E-2,8.973643929E-2
1.681890833E-1,-2.282489687E-1,-8.233235776E-2,1.248609871E-1
1.883050833E-1,-2.802769840E-1,-6.408102065E-2,9.524365515E-2
2.084200833E-1,-3.322187960E-1,-2.261178754E-2,4.162389040E-2
2.285350833E-1,-3.367725611E-1,6.242289767E-2,9.088465944E-3
2.486500833E-1,-2.861137688E-1,3.064611740E-2,3.882154706E-4
2.687650833E-1,-1.913198084E-1,-5.304289237E-2,1.350005064E-2
2.888800833E-1,-1.071753576E-1,-6.484912336E-2,4.752920941E-2
3.089950833E-1,-4.975019768E-2,-6.193082035E-2,6.839931011E-2
3.291090833E-1,-2.534065582E-2,-6.602458656E-2,7.364562154E-2
3.492240833E-1,-2.546258643E-2,-7.323896140E-2,5.468266830E-2
3.693390833E-1,-2.419277467E-2,-9.813012928E-2,1.933529973E-2
3.894540833E-1,-3.212231398E-2,-7.860191166E-2,7.520304061E-3
4.095690833E-1,-3.308515623E-2,-4.246018454E-2,6.533955224E-3
4.296840833E-1,-2.013884857E-2,-9.722854011E-3,8.326264098E-3
4.497990833E-1,2.135939337E-2,4.512174055E-4,-1.199298259E-2
4.699140833E-1,6.471044570E-2,-1.054547727E-2,-3.966395929E-2
4.900290833E-1,1.050690487E-1,-1.940713637E-2,-5.863647163E-2
5.101440833E-1,1.266054213E-1,-1.905125566E-2,-7.313028723E-2
5.302590833E-1,1.319498569E-1,-2.668014541E-2,-7.986249030E-2
5.503740833E-1,1.316006184E-1,-2.867377549E-2,-7.620831579E-2
5.704890833E-1,1.258310974E-1,-2.511916496E-2,-6.815028936E-2
5.906040833E-1,1.122048646E-1,-4.482291173E-3,-5.116663873E-2
6.107190833E-1,1.166064814E-1,4.589201510E-2,-4.731990770E-2
6.308340833E-1,1.329354644E-1,1.039635986E-1,-6.567054242E-2
6.509490833E-1,1.545730233E-1,1.118379980E-1,-8.931198716E-2
6.710630833E-1,1.584742218E-1,7.704068720E-2,-1.008905545E-1
6.911780833E-1,1.393506676E-1,7.105758041E-2,-7.946806401E-2
7.112930833E-1,1.077697799E-1,5.014896020E-2,-4.399606586E-2
7.314080833E-1,6.712031364E-2,3.055224009E-2,-2.849575691E-2
7.515230833E-1,4.404296353E-2,1.785269007E-2,-2.304399945E-2
7.716380833E-1,1.830748096E-2,1.688030548E-3,-2.998777851E-2
7.917530833E-1,-3.278149292E-3,1.507067401E-2,-3.574813157E-2
8.118680833E-1,-2.430340275E-2,2.604839578E-2,-3.989900649E-2
8.319820833E-1,-5.218093842E-2,3.198745847E-2,-4.098248854E-2
8.520970833E-1,-7.353913039E-2,5.092445016E-2,-4.425700381E-2
8.722120833E-1,-1.075199917E-1,4.626630247E-2,-4.756100103E-2
8.923270833E-1,-1.317062676E-1,3.130742162E-2,-3.625027835E-2
9.124420833E-1,-1.379808486E-1,2.147879638E-2,-2.731667645E-2
9.325570833E-1,-1.253651381E-1,8.353516459E-3,-2.688044123E-2
9.526720833E-1,-1.049030274E-1,5.707099102E-3,-2.899993956E-2
9.727860833E-1,-8.612514287E-2,-8.712243289E-3,-1.290772948E-2
9.929010833E-1,-7.306577265E-2,-1.631256379E-2,1.907642186E-2
1.013016083E0,-6.584368646E-2,-1.646718010E-2,4.470531642E-2
1.033131083E0,-5.557803810E-2,-5.055115558E-3,5.346223339E-2
1.053244708E0,-5.200139433E-2,1.016324386E-4,4.504444823E-2
1.073359708E0,-3.716386855E-2,2.884243242E-2,3.505922481E-2
1.093473708E0,-4.346009810E-3,5.311471224E-2,1.918042637E-2
1.113588708E0,3.430886567E-2,6.172999367E-2,1.384270191E-2
1.133703708E0,6.638970226E-2,9.407473356E-2,1.724397391E-2
1.153818708E0,7.722005248E-2,1.238104776E-1,2.726908587E-2
1.173933708E0,9.569885582E-2,1.126630604E-1,5.438867956E-2
1.194047708E0,1.062296182E-1,6.497891247E-2,9.349650890E-2
1.214162708E0,1.033160686E-1,5.768677592E-2,1.179490685E-1
1.234277708E0,5.638736486E-2,3.098117746E-2,7.620468736E-2
1.254392708E0,-2.938190289E-2,-1.044999529E-2,3.520416841E-2
1.274506708E0,-1.126126423E-1,-4.709277675E-2,-1.943895593E-2
1.294621708E0,-2.010547519E-1,-4.613759741E-2,-6.932947040E-2
1.314736708E0,-2.695185542E-1,-1.814395189E-2,-7.279554754E-2
1.334851708E0,-2.572178543E-1,-5.283052102E-2,-4.688961804E-2
1.354965708E0,-1.172645614E-1,-8.688437939E-2,4.946641624E-2
1.375080708E0,3.904444352E-2,-6.235241145E-2,1.868344992E-1
1.395195708E0,4.786814004E-2,1.238182560E-2,2.595486045E-1
1.415310708E0,-3.858400136E-2,1.377248615E-1,2.745058239E-1
1.435424708E0,-6.549343467E-2,2.155588120E-1,2.793311775E-1
1.455539708E0,-5.660234019E-2,2.342289984E-1,2.328735739E-1
1.475654708E0,-3.152212501E-2,2.293529958E-1,1.436877549E-1
1.495769708E0,-2.191889565E-3,1.879441440E-1,3.493282944E-2
1.515883708E0,5.246337131E-2,1.307794154E-1,-6.771049649E-2
1.535998708E0,1.401653141E-1,9.593503922E-2,-1.483973414E-1
1.556113708E0,1.952736527E-1,7.531393319E-2,-2.014791667E-1
1.576228708E0,2.072383463E-1,7.839435339E-2,-2.071822733E-1
1.596342708E0,1.626266390E-1,8.065103740E-2,-1.760716587E-1
1.616457708E0,1.171570942E-1,7.994458079E-2,-1.308926940E-1
1.636572708E0,9.842068702E-2,6.509771198E-2,-8.207426220E-2
1.656686708E0,1.075720340E-1,2.266269363E-2,-6.275080889E-2
1.676801708E0,1.020134315E-1,-3.424042463E-2,-5.647058040E-2
1.696916708E0,8.286050707E-2,-9.035617113E-2,2.348029753E-3
1.717030708E0,6.720750779E-2,-1.055455282E-1,5.288846791E-2
1.737145708E0,8.589249104E-2,-9.796090424E-2,6.307594478E-2
1.757260708E0,9.982348233E-2,-1.099347323E-1,2.433596738E-2
1.777374708E0,1.100921035E-1,-8.551329374E-2,-6.258318573E-2
1.797489708E0,1.234212220E-1,-6.937959790E-2,-1.633907557E-1
1.817604708E0,9.797255695E-2,-1.026915759E-1,-2.301153094E-1
1.837718708E0,4.253922775E-2,-1.264791638E-1,-2.509638369E-1
1.857833708E0,-1.758535951E-2,-1.274978071E-1,-2.168959528E-1
